"partnumber","aviallaltuser","aviallaltuser - Price","aviallaltuser - Stock"
"AN104707","aviallaltuser",13.98,51
"AN104711","aviallaltuser",26.1,143
"AN106411","aviallaltuser",6.3,1
"AN106509","aviallaltuser",26.24,4
"AN106511","aviallaltuser",31.64,15
"AN106526","aviallaltuser",44.08,16
"AN106624","aviallaltuser",13.41,35
"AN106714","aviallaltuser",8.18,1
"AN106728","aviallaltuser",9.19,45
"AN107407","aviallaltuser",61.92,22
"AN107414","aviallaltuser",17.6,29
"AN115809","aviallaltuser",18.67,40
"AN115909","aviallaltuser",13,43
"AN115913","aviallaltuser",18.5,7
"AN117003","aviallaltuser",4.33,1
"AN121552","aviallaltuser",11.59,82
"AN121662","aviallaltuser",43.01,36
"AN122581","aviallaltuser",0.52,552
"AN122704","aviallaltuser",4.94,104
"AN122706","aviallaltuser",3.44,22
"AN122707","aviallaltuser",3.43,599
"AN150306","aviallaltuser",1.32,112
"AN150354","aviallaltuser",0.75,5
"AN150411","aviallaltuser",6.62,178
"AN150526","aviallaltuser",60.18,14
"AN150531","aviallaltuser",10.83,8
"AN150532","aviallaltuser",11.58,48
"AN150533","aviallaltuser",24.76,13
"AN150534","aviallaltuser",71.62,2
"AN150538","aviallaltuser",16.32,1
"AN150550","aviallaltuser",11.45,27
"AN150551","aviallaltuser",380.34,16
"AN150552","aviallaltuser",93.51,15
"AN150553","aviallaltuser",39.31,57
"AN150592","aviallaltuser",24.56,15
"AN150593","aviallaltuser",6.54,13
"AN150832","aviallaltuser",70.97,39
"AN150833","aviallaltuser",39.54,173
"AN150835","aviallaltuser",5.44,622
"AN150861","aviallaltuser",15.88,4
"AN150862","aviallaltuser",11.85,19
"AN150863","aviallaltuser",18.71,130
"AN150940","aviallaltuser",17.98,181
"AN150941","aviallaltuser",41.08,7
"AN150960","aviallaltuser",175.96,3
"AN151007","aviallaltuser",43.35,29
"AN151008","aviallaltuser",372.33,7
"AN151132","aviallaltuser",24.46,23
"AN151134","aviallaltuser",92.41,92
"AN154721","aviallaltuser",42.14,77
"AN173C10","aviallaltuser",41.35,3
"AN173C6","aviallaltuser",11.28,26
"AN173C7","aviallaltuser",146.01,24
"AN176H11A","aviallaltuser",16.29,21
"AN500AD8-7","aviallaltuser",0.91,53
"AN500D4-4","aviallaltuser",2.61,524
"AN565FC624H10","aviallaltuser",7.5,4
"AN804C5","aviallaltuser",6.25,4
"AN815-4D","aviallaltuser",6.34,49
"AN833-12D","aviallaltuser",79.97,3
"AN833-20D","aviallaltuser",261.93,6
"AN833-5J","aviallaltuser",94.02,1
"AN833-6J","aviallaltuser",86.25,48
"AN893-8D","aviallaltuser",74.97,6
"AN919-22D","aviallaltuser",35.62,63
"AN104606",,,
"AN150865",,,
"AN814-2D",,,
"AN924-8J","aviallaltuser",18.05,5
"AN929-2J","aviallaltuser",10.13,10
"AN929-4J","aviallaltuser",21.39,109
"AS1038GJ0404","aviallaltuser",72.96,5
"AS1038J0404","aviallaltuser",194.35,12
"AS1038J1012","aviallaltuser",128.06,7
"AS12811","aviallaltuser",9.23,527
"AS12841","aviallaltuser",49.82,150
"AS3085-027","aviallaltuser",0.82,569
"AS3208-03","aviallaltuser",2.95,35
"AS3208-04","aviallaltuser",0.46,1986
"AS3208-05","aviallaltuser",12.9,573
"AS3208-06","aviallaltuser",0.58,290
"AS3209-008","aviallaltuser",1.17,1583
"AS3209-009","aviallaltuser",0.43,6
"AS3209-010","aviallaltuser",0.95,559
"AS3209-011","aviallaltuser",1.28,1641
"AS3209-012","aviallaltuser",2.14,157
"AS3209-013","aviallaltuser",0.75,24
"AS3209-015","aviallaltuser",1.64,729
"AS3209-017","aviallaltuser",3.13,251
"AS3209-018","aviallaltuser",2.21,43
"AS3209-019","aviallaltuser",1.39,434
"AS3209-020","aviallaltuser",1.28,416
"AS3209-022","aviallaltuser",4.49,2
"AS3209-024","aviallaltuser",1.55,944
"AS3209-028","aviallaltuser",0.74,616
"AS3209-031","aviallaltuser",1.37,161
"AS3209-111","aviallaltuser",0.58,190
