"partNumber","description","category","subCategory","manufacturer","stock","imgUrl","weight","vendor","price","unitMeasure","url","createdAt","updatedAt"
"6840117","TUBE: OIL TRANSFER,HOUSING,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",3,"https://www.aviall.com/content-images/6840117=64_120.JPG",0,"aviallaltuser",117.98,"","https://shop.boeing.com/aviation-supply/p/6840117=R4","{\"$date\":\"2024-02-14T01:03:31.873Z\"}","{\"$date\":\"2024-02-25T20:02:56.243Z\"}"
"6840136","SCREEN: OIL PRESSURE,ASSEMBLY,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",0,"https://www.aviall.com/content-images/6840136=64_120.JPG",0,"aviallaltuser",77.99,"","https://shop.boeing.com/aviation-supply/p/6840136=64","{\"$date\":\"2024-02-14T01:03:59.730Z\"}","{\"$date\":\"2024-02-25T15:47:55.276Z\"}"
"6840323","VALVE: BURNER DRAIN,ASSEMBLY,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",0,"https://www.aviall.com/content-images/6840323=64_120.JPG",0,"aviallaltuser",678.69,"","https://shop.boeing.com/aviation-supply/p/6840323=64","{\"$date\":\"2024-02-14T01:04:27.657Z\"}","{\"$date\":\"2024-02-25T15:50:29.336Z\"}"
"6840406","Rolls-Royce® Spanner Turbine Tie Bolt Nut 6840406","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",211,"https://www.aviall.com/content-images/6840406=64_120.JPG",0,"aviallaltuser",201.63,"","https://shop.boeing.com/aviation-supply/p/6840406=64","{\"$date\":\"2024-02-14T01:04:53.310Z\"}","{\"$date\":\"2024-02-25T15:21:23.357Z\"}"
"6840407","NUT: SPANNER,TURBINE TIE BOLT,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",101,"https://www.aviall.com/content-images/6840407=64_120.JPG",0,"aviallaltuser",74.04,"","https://shop.boeing.com/aviation-supply/p/6840407=64","{\"$date\":\"2024-02-14T01:05:18.688Z\"}","{\"$date\":\"2024-02-25T15:24:30.089Z\"}"
"6840420","SCREW: FIL HD,SHLDR,CRES,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",9,"https://www.aviall.com/content-images/6840420=64_120.JPG",0,"aviallaltuser",117.12,"","https://shop.boeing.com/aviation-supply/p/6840420=R4","{\"$date\":\"2024-02-14T01:05:46.723Z\"}","{\"$date\":\"2024-02-25T18:19:25.293Z\"}"
"6840476","SCREEN: OIL FILTER,ASSEMBLY,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",1,"https://www.aviall.com/content-images/6840476=64_120.JPG",0,"aviallaltuser",78.34,"","https://shop.boeing.com/aviation-supply/p/6840476=R4","{\"$date\":\"2024-02-14T01:06:15.955Z\"}","{\"$date\":\"2024-02-25T16:56:00.949Z\"}"
"6840862","GEAR: SPUR,HYD PUMP DRIVE,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",7,null,0,"aviallaltuser",10781.25,"","https://shop.boeing.com/aviation-supply/p/6840862=T5","{\"$date\":\"2024-02-14T01:07:09.004Z\"}","{\"$date\":\"2024-02-25T16:22:51.992Z\"}"
"6841676","GASKET: METALLIC,U-RING 1.4,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",433,"https://www.aviall.com/content-images/6841676=64_120.JPG",0,"aviallaltuser",49.55,"","https://shop.boeing.com/aviation-supply/p/6841676=64","{\"$date\":\"2024-02-14T01:11:32.336Z\"}","{\"$date\":\"2024-02-25T15:21:37.832Z\"}"
"6841759","CLIP:,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",72,"https://www.aviall.com/content-images/6841759=T5_120.JPG",0,"aviallaltuser",83.58,"","https://shop.boeing.com/aviation-supply/p/6841759=T5","{\"$date\":\"2024-02-14T01:12:00.593Z\"}","{\"$date\":\"2024-02-25T16:13:02.675Z\"}"
